,date,discount_ratio,discount_value,discount_volume,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,preminum_volume,ratio,row_volume,value
99,2007-11-30,-1294.50105904,2.63090024032,0.0,0.0,0.0,0.0,-726.960506684,4.03715224807,0.0,-990.99718193,0.0,3.24456829184
100,2007-12-07,-1231.71746862,1.1172434394,0.0,0.0,0.0,0.0,-745.349909383,1.58566110747,0.0,-997.889375511,0.0,0.906474485962
101,2007-12-14,-1320.27978469,-2.6041920179,0.0,0.0,0.0,0.0,-860.989412084,-3.07460836243,0.0,-1098.03698869,0.0,-2.66774628611
102,2007-12-21,-1441.11404985,-2.31330198045,0.0,0.0,0.0,0.0,-932.521742295,-1.6290304982,0.0,-1228.23632748,0.0,-1.90484067293
103,2007-12-28,-1331.4179695,1.13315395828,0.0,0.0,0.0,0.0,-893.816103071,0.748291840261,0.0,-1136.31168578,0.0,0.8531801726
104,2008-01-04,-1031.54405616,1.92428374683,0.0,0.0,0.0,0.0,-602.893876469,3.21901924283,0.0,-824.473732226,0.0,2.79146153812
105,2008-01-11,-955.630124325,0.587062024805,0.0,0.0,0.0,0.0,-427.025870346,1.88962940809,0.0,-671.162055142,0.0,1.16041856499
106,2008-01-18,-1006.50627885,-4.08227269668,0.0,0.0,0.0,0.0,-482.957798053,-2.90189347658,0.0,-764.98290983,0.0,-3.18679139793
107,2008-01-25,-880.18134645,1.18238411706,0.0,0.0,0.0,0.0,-261.822746267,2.41542492893,0.0,-603.207599956,0.0,1.67719130652
108,2008-02-01,-831.090641507,2.74657080287,0.0,0.0,0.0,0.0,-190.829147996,3.06293541501,0.0,-513.003273222,0.0,2.59634821543
109,2008-02-08,-791.890262622,-2.44822326309,0.0,0.0,0.0,0.0,-66.2884237104,-1.08404707925,0.0,-423.568014013,0.0,-1.7021005635
110,2008-02-15,-1083.84723624,-3.38573555418,0.0,0.0,0.0,0.0,-568.847312172,-4.29743250245,0.0,-802.371308431,0.0,-4.14436648214
111,2008-02-22,-1013.3578225,-0.137975643669,0.0,0.0,0.0,0.0,-480.593902144,1.13052165917,0.0,-774.258797485,0.0,0.466664453789
112,2008-02-29,-972.804703103,0.908529483497,0.0,0.0,0.0,0.0,-401.124159596,1.42291570094,0.0,-670.318618136,0.0,1.37418056722
113,2008-03-07,-1062.06058084,-2.24665996744,0.0,0.0,0.0,0.0,-422.611638991,-2.37229668223,0.0,-734.585274477,0.0,-2.22268852449
114,2008-03-14,-1184.50940276,-2.50559524449,0.0,0.0,0.0,0.0,-536.771332769,-1.74782154751,0.0,-869.762683826,0.0,-2.4460022102
115,2008-03-28,-1184.79630728,-0.0662492306247,0.0,0.0,0.0,0.0,-472.142194943,1.20313140919,0.0,-871.408838076,0.0,0.578529269918
116,2008-04-04,-1148.69894195,2.53619558447,0.0,0.0,0.0,0.0,-425.334157323,2.53019837997,0.0,-778.78689212,0.0,2.57971731103
117,2008-04-11,-1144.56433146,-0.846542466792,0.0,0.0,0.0,0.0,-459.836671616,-1.01928111549,0.0,-804.310110736,0.0,-0.706689200328
118,2008-04-18,-1101.20358764,2.40367817461,0.0,0.0,0.0,0.0,-356.259305399,2.51212362684,0.0,-734.980698314,0.0,2.16944851659
119,2008-04-25,-1021.41289438,0.95058328276,0.0,0.0,0.0,0.0,-291.290970313,0.856624134212,0.0,-664.511044511,0.0,0.881780066698
120,2008-05-02,-962.597277071,1.00866324747,0.0,0.0,0.0,0.0,-313.08937693,1.62997222499,0.0,-640.745674079,0.0,1.25902378259
121,2008-05-09,-969.109937946,0.464424591047,0.0,0.0,0.0,0.0,-277.543394203,0.200502874615,0.0,-610.927590928,0.0,0.313487146432
122,2008-05-16,-963.126579817,0.375484950463,0.0,0.0,0.0,0.0,-291.307748561,0.107832152119,0.0,-643.390806724,0.0,0.17538743094
123,2008-05-23,-960.938651515,-1.23749222713,0.0,0.0,0.0,0.0,-327.193241131,-1.00672516081,0.0,-645.521638855,0.0,-0.871486707358
124,2008-05-30,-892.910279992,1.0665736534,0.0,0.0,0.0,0.0,-147.465123489,1.53606878258,0.0,-555.45010545,0.0,1.05929946344
125,2008-06-06,-857.539751051,-0.408045664573,0.0,0.0,0.0,0.0,-184.980244772,-1.02990501408,0.0,-551.079291079,0.0,-0.584804110036
126,2008-06-13,-942.48158517,-2.15196468113,0.0,0.0,0.0,0.0,-260.478344972,-2.90352230371,0.0,-648.828702162,0.0,-2.72464555142
127,2008-06-20,-952.763181596,-2.16230032923,0.0,0.0,0.0,0.0,-263.007582464,-1.47101004321,0.0,-701.901678568,0.0,-1.51074006971
128,2008-06-27,-1104.38549431,-2.49193059369,0.0,0.0,0.0,0.0,-292.558533513,-2.60966111594,0.0,-799.019475,0.0,-2.19864004852
