,Ticker,Company,Country,Sector,Date,Weight
27,FRA US,Blackrock Floating Rate Income,United States,,2017-03-31,2.54321
28,FTF US,Franklin Limited Duration Inco,United States,,2017-03-31,1.91417
29,KIO US,Kkr Income Opportunities Fund,United States,,2017-03-31,1.68168
30,NHF US,Nexpoint Credit Strategies Fun,United States,,2017-03-31,2.46639
31,NSL US,Nuveen Senior Income Fund,United States,,2017-03-31,1.09443
32,JQC US,Nuveen Credit Strategies Incom,United States,,2017-03-31,7.07845
33,JFR US,Nuveen Floating Rate Income Fu,United States,,2017-03-31,2.63884
34,PHD US,Pioneer Floating Rate Trust,United States,,2017-03-31,1.41639
35,EFF US,EATON VANCE FLOATING-RATE IN,United States,,2017-03-31,0.623341
36,EVG US,Eaton Vance Short Duration Div,United States,,2017-03-31,1.5206
37,EVV US,Eaton Vance Limited Duration I,United States,,2017-03-31,8
38,EFT US,Eaton Vance Floating-Rate Inco,United States,,2017-03-31,2.50902
39,BGX US,Blackstone/Gso Long-Short Cred,United States,,2017-03-31,1.22212
0,EVG US,Eaton Vance Short Duration Div,United States,,2016-12-30,1.52331
1,PPR US,Voya Prime Rate Trust,United States,,2016-12-30,3.99827
2,JSD US,Nuveen Short Duration Credit O,United States,,2016-12-30,0.835644
3,AIF US,Apollo Tactical Income Fund In,United States,,2016-12-30,1.53277
4,NSL US,Nuveen Senior Income Fund,United States,,2016-12-30,1.24194
5,EFR US,Eaton Vance Senior Floating-Ra,United States,,2016-12-30,2.2982
6,KIO US,Kkr Income Opportunities Fund,United States,,2016-12-30,1.54178
7,AFT US,Apollo Senior Floating Rate Fu,United States,,2016-12-30,1.30503
8,JRO US,Nuveen Floating Rate Income Op,United States,,2016-12-30,1.61951
9,VVR US,Invesco Senior Income Trust,United States,,2016-12-30,4.07063
10,ACP US,Avenue Income Credit Strategie,United States,,2016-12-30,1.22307
11,EFF US,EATON VANCE FLOATING-RATE IN,United States,,2016-12-30,0.7737
12,EFT US,Eaton Vance Floating-Rate Inco,United States,,2016-12-30,2.53931
13,FTF US,Franklin Limited Duration Inco,United States,,2016-12-30,1.96955
14,ISD US,Prudential Short Duration High,United States,,2016-12-30,2.58079
15,VTA US,Invesco Dynamic Credit Opportu,United States,,2016-12-30,5.53031
16,JFR US,Nuveen Floating Rate Income Fu,United States,,2016-12-30,2.66414
17,PHD US,Pioneer Floating Rate Trust,United States,,2016-12-30,1.44154
18,MSD US,Morgan Stanley Emerging Market,United States,,2016-12-30,1.52952
19,JQC US,Nuveen Credit Strategies Incom,United States,,2016-12-30,7.23297
20,NHF US,Nexpoint Credit Strategies Fun,United States,,2016-12-30,2.55634
21,FCT US,First Trust Senior Floating Ra,United States,,2016-12-30,1.57586
22,TSLF US,THL CREDIT SENIOR LOAN FUND,United States,,2016-12-30,0.784177
23,GHY US,Prudential Global Short Durati,United States,,2016-12-30,3.83821
24,BSL US,Blackstone / Gso Senior Floati,United States,,2016-12-30,0.975467
25,BGH US,Barings Global Short Duration,United States,,2016-12-30,2.35052
26,FRA US,Blackrock Floating Rate Income,United States,,2016-12-30,2.60226
27,BGX US,Blackstone/Gso Long-Short Cred,United States,,2016-12-30,1.24725
28,DSU US,Blackrock Debt Strategies Fund,United States,,2016-12-30,4.80966
29,PFN US,Pimco Income Strategy Fund Ii,United States,,2016-12-30,2.35362
30,BGT US,Blackrock Floating Rate Income,United States,,2016-12-30,1.5911
