Index,Currency,Date,Price,"Total Return"
CEFX,USD,2008-04-23,920.62892253797300,1162.03448472983000
CEFX,USD,2008-04-24,924.04130855145300,1166.34166010288000
CEFX,USD,2008-04-25,926.54771392757000,1169.50529032181000
CEFX,USD,2008-04-28,927.96907420838500,1171.55825541553000
CEFX,USD,2008-04-29,927.10689221412800,1170.46975315709000
CEFX,USD,2008-04-30,930.38040031490100,1174.60254760705000
CEFX,USD,2008-05-01,936.62900740447900,1182.71529008101000
CEFX,USD,2008-05-02,939.24261321854200,1186.01558457766000
CEFX,USD,2008-05-05,936.71671946551100,1182.82604726970000
CEFX,USD,2008-05-06,936.72306298484400,1182.83405746077000
CEFX,USD,2008-05-07,933.38209349721100,1178.72025841281000
CEFX,USD,2008-05-08,940.04919678143700,1187.86884814103000
CEFX,USD,2008-05-09,943.06861794676300,1192.09701281466000
CEFX,USD,2008-05-12,943.80237187340400,1193.30246511368000
CEFX,USD,2008-05-13,938.68226893404100,1191.06383691130000
CEFX,USD,2008-05-14,940.31858514009700,1194.23475703176000
CEFX,USD,2008-05-15,942.21108249780800,1196.63828936419000
CEFX,USD,2008-05-16,946.00661497947900,1201.48472018678000
CEFX,USD,2008-05-19,943.51237328157900,1198.31688473930000
CEFX,USD,2008-05-20,940.15063067784400,1194.19780684868000
CEFX,USD,2008-05-21,935.90156636231900,1189.21090535008000
CEFX,USD,2008-05-22,937.02945160273500,1190.64406186578000
CEFX,USD,2008-05-23,933.13072855353500,1185.69011784679000
CEFX,USD,2008-05-27,940.97114310586600,1195.65260409877000
CEFX,USD,2008-05-28,942.48735294264400,1197.83981799772000
CEFX,USD,2008-05-29,943.23294263147100,1198.78741375524000
CEFX,USD,2008-05-30,944.16470785215400,1199.97162644401000
CEFX,USD,2008-06-02,946.92114610840400,1203.70026983076000
CEFX,USD,2008-06-03,947.78948357526000,1204.80407667619000
CEFX,USD,2008-06-04,944.36042264235600,1200.55081329640000
CEFX,USD,2008-06-05,949.14347186749600,1206.63142986990000
CEFX,USD,2008-06-06,941.44842101750500,1196.84883062621000
CEFX,USD,2008-06-09,938.58990584390800,1193.67944213074000
CEFX,USD,2008-06-10,932.68192449928700,1186.47183426026000
CEFX,USD,2008-06-11,919.76959516226100,1173.36568325846000
CEFX,USD,2008-06-12,913.13284915698000,1167.97485124422000
CEFX,USD,2008-06-13,918.85648443517400,1175.29586928535000
CEFX,USD,2008-06-16,920.21168761002800,1177.02928981448000
CEFX,USD,2008-06-17,920.06756025607000,1176.84493862730000
CEFX,USD,2008-06-18,916.97193360519100,1173.50161239973000
CEFX,USD,2008-06-19,910.46704192029100,1168.96357797975000
CEFX,USD,2008-06-20,902.99120824382500,1159.56704062275000
CEFX,USD,2008-06-23,899.15693040434000,1154.64329145812000
CEFX,USD,2008-06-24,893.46093424477900,1147.32883551454000
CEFX,USD,2008-06-25,900.14012330744900,1155.90584869524000
CEFX,USD,2008-06-26,889.33083010388100,1142.62523855112000
CEFX,USD,2008-06-27,883.60911990568900,1135.27390172704000
CEFX,USD,2008-06-30,882.61088905960300,1133.99136015755000
CEFX,USD,2008-07-01,881.37523187241900,1132.92140392282000
CEFX,USD,2008-07-02,872.34020794393600,1121.30776693442000
CEFX,USD,2008-07-03,863.83664528562700,1110.37727127626000
CEFX,USD,2008-07-07,850.45809871029100,1093.18046199404000
CEFX,USD,2008-07-08,854.64690707874300,1098.94989892165000
CEFX,USD,2008-07-09,852.61617950072800,1097.01123953154000
CEFX,USD,2008-07-10,852.28694851250000,1096.70083904451000
CEFX,USD,2008-07-11,841.29177309140800,1084.30231218373000
CEFX,USD,2008-07-14,822.84621597450500,1060.61104031721000
CEFX,USD,2008-07-15,801.97512897192000,1033.70916622626000
CEFX,USD,2008-07-16,820.67740077347700,1058.07220647208000
CEFX,USD,2008-07-17,835.36120315840500,1077.00354681870000
CEFX,USD,2008-07-18,839.22007532575800,1082.00455541714000
CEFX,USD,2008-07-21,844.29957939998300,1088.55354859445000
CEFX,USD,2008-07-22,848.99691157120300,1095.80848274830000
CEFX,USD,2008-07-23,849.08347229362700,1095.92020750561000
CEFX,USD,2008-07-24,837.22665406000200,1080.61649812607000
CEFX,USD,2008-07-25,837.50830643275600,1080.98002955362000
CEFX,USD,2008-07-28,830.93799598811200,1072.49966664370000
CEFX,USD,2008-07-29,842.61833355864500,1087.89724704420000
CEFX,USD,2008-07-30,847.45718440729600,1094.14464554890000
CEFX,USD,2008-07-31,843.32699401234300,1088.81219243046000
CEFX,USD,2008-08-01,847.99248512333600,1095.05809390702000
CEFX,USD,2008-08-04,841.17906625019100,1086.25956135501000
CEFX,USD,2008-08-05,846.92117736683400,1093.67465684784000
CEFX,USD,2008-08-06,845.50288833596300,1091.96822526137000
CEFX,USD,2008-08-07,836.31036655839900,1080.95487318382000
CEFX,USD,2008-08-08,844.26855668457700,1091.24105967941000
CEFX,USD,2008-08-11,844.08386667004200,1091.79946568127000
CEFX,USD,2008-08-12,840.87001226080200,1087.64243263593000
CEFX,USD,2008-08-13,838.24276129718500,1085.83758239648000
CEFX,USD,2008-08-14,839.80911008352000,1087.94936514313000
CEFX,USD,2008-08-15,837.20216775589200,1084.57214380050000
CEFX,USD,2008-08-18,832.32142120348600,1078.24927227010000
CEFX,USD,2008-08-19,829.63900395830300,1074.83319330386000
CEFX,USD,2008-08-20,827.46168450337800,1074.95656839846000
CEFX,USD,2008-08-21,825.64813612965200,1072.60058530830000
CEFX,USD,2008-08-22,831.17895328614700,1079.78567718909000
CEFX,USD,2008-08-25,824.73763902130100,1071.41775731100000
CEFX,USD,2008-08-26,827.19170722414900,1074.60584055806000
CEFX,USD,2008-08-27,828.68797355835400,1076.87338972837000
CEFX,USD,2008-08-28,835.72924743176300,1086.02346877622000
CEFX,USD,2008-08-29,835.38647443380800,1085.57803800856000
CEFX,USD,2008-09-02,837.38166972490700,1088.39455114496000
CEFX,USD,2008-09-03,836.02412567513100,1086.75596588757000
CEFX,USD,2008-09-04,822.25759807160700,1068.86072154806000
CEFX,USD,2008-09-05,819.83537700930000,1065.71205261696000
CEFX,USD,2008-09-08,824.46966058494100,1071.73620331880000
CEFX,USD,2008-09-09,803.00068174809900,1044.21794857770000
CEFX,USD,2008-09-10,796.58662966296100,1036.55731138671000
CEFX,USD,2008-09-11,784.26856418125000,1027.35095534801000
CEFX,USD,2008-09-12,780.68343578129200,1023.22436540084000
CEFX,USD,2008-09-15,744.01523730268100,975.16417557355400
CEFX,USD,2008-09-16,719.14433410599200,942.56643752252200
CEFX,USD,2008-09-17,659.75722483273000,865.23843212480400
CEFX,USD,2008-09-18,683.56347286802100,898.11926382122500
CEFX,USD,2008-09-19,745.40428436949000,982.03378290359100
CEFX,USD,2008-09-22,721.10861180486300,950.27359446301600
CEFX,USD,2008-09-23,709.99690176057000,935.63063434360700
CEFX,USD,2008-09-24,706.67564728104400,931.25390054689600
CEFX,USD,2008-09-25,717.90633453910300,946.05364828849300
CEFX,USD,2008-09-26,709.68658491621800,935.78133111661500
CEFX,USD,2008-09-29,645.60892861407800,851.28956280126900
CEFX,USD,2008-09-30,667.07817342648600,879.59856414866900
CEFX,USD,2008-10-01,680.06471774592800,897.50861841714600
CEFX,USD,2008-10-02,660.68435482808800,871.93157803712700
CEFX,USD,2008-10-03,658.71652270775700,869.33455125201600
CEFX,USD,2008-10-06,605.95924504624400,799.70866102442900
CEFX,USD,2008-10-07,573.90040469509000,757.39932669079500
CEFX,USD,2008-10-08,542.42548025398800,716.70871184290000
CEFX,USD,2008-10-09,501.89784985899700,663.51048236028300
CEFX,USD,2008-10-10,478.18171899067100,633.58747677045200
CEFX,USD,2008-10-13,575.64198908657700,762.72166187851300
CEFX,USD,2008-10-14,596.70605131210300,791.03276589650400
CEFX,USD,2008-10-15,557.14866413770500,738.59289316621000
CEFX,USD,2008-10-16,572.46536979189400,758.89772502004000
CEFX,USD,2008-10-17,588.77460047989000,780.51831330199500
CEFX,USD,2008-10-20,608.70808531880900,806.96879056864000
CEFX,USD,2008-10-21,594.85068521072100,788.59793321458800
CEFX,USD,2008-10-22,569.70773072588900,756.57672302128700
CEFX,USD,2008-10-23,566.39123087887500,752.17238295211300
CEFX,USD,2008-10-24,549.37194329325600,729.57062395319900
CEFX,USD,2008-10-27,539.83357098906500,716.90358422097200
CEFX,USD,2008-10-28,563.99318364553300,748.98775578347700
CEFX,USD,2008-10-29,574.31223228361000,763.04884898148900
CEFX,USD,2008-10-30,587.49277215581400,780.56091857201300
CEFX,USD,2008-10-31,600.32885058067900,797.61532611716100
CEFX,USD,2008-11-03,605.83789223728000,805.36613403665000
CEFX,USD,2008-11-04,623.78199978899700,829.22000107408000
CEFX,USD,2008-11-05,611.24781783669800,812.78294456576800
CEFX,USD,2008-11-06,591.94564396370800,787.11663172307600
CEFX,USD,2008-11-07,591.71282693804600,787.40382908515700
CEFX,USD,2008-11-10,587.29541361724900,781.77919008714200
CEFX,USD,2008-11-11,572.76832400683600,762.44143248402500
CEFX,USD,2008-11-12,548.81932073125000,731.95559749132200
CEFX,USD,2008-11-13,557.39783187086000,743.84937495665100
CEFX,USD,2008-11-14,546.88062724312200,729.81412824179400
CEFX,USD,2008-11-17,527.71080382761800,704.23193119988700
CEFX,USD,2008-11-18,517.67470486460800,690.86423006668900
CEFX,USD,2008-11-19,485.23118578880500,650.33740752673100
CEFX,USD,2008-11-20,442.53641340231800,593.44876493155200
CEFX,USD,2008-11-21,443.89017604855800,595.26418338321100
CEFX,USD,2008-11-24,475.92782299402900,638.22720616574000
CEFX,USD,2008-11-25,490.80121603942300,658.53348470441200
CEFX,USD,2008-11-26,513.02660794992800,688.35444745966700
CEFX,USD,2008-11-28,518.23189835556900,695.33865596955400
CEFX,USD,2008-12-01,488.12513063034300,655.37842777669400
CEFX,USD,2008-12-02,500.82955192691800,672.43594670511000
CEFX,USD,2008-12-03,506.72048824576400,680.49154438580400
CEFX,USD,2008-12-04,496.21467768791000,666.38294720575200
CEFX,USD,2008-12-05,503.22809643069600,675.80149700275300
CEFX,USD,2008-12-08,509.67551385381400,684.81562993331500
CEFX,USD,2008-12-09,501.63108636475200,674.00689078726600
CEFX,USD,2008-12-10,508.35953354767600,683.55684919241800
CEFX,USD,2008-12-11,499.16770802640300,675.61105782326100
CEFX,USD,2008-12-12,498.06469872586900,676.30176377616700
CEFX,USD,2008-12-15,491.62446670682900,667.55683508568400
CEFX,USD,2008-12-16,513.85151144535700,697.73803363007700
CEFX,USD,2008-12-17,524.02668822938400,712.88715971672600
CEFX,USD,2008-12-18,526.99986057122000,720.19766611811800
CEFX,USD,2008-12-19,534.30447601789000,730.74871898544400
CEFX,USD,2008-12-22,535.62072400937500,734.97117116043500
CEFX,USD,2008-12-23,538.76217697217100,739.38287560620200
CEFX,USD,2008-12-24,544.05037413643100,748.77438163288000
CEFX,USD,2008-12-26,551.82773171669100,759.47832816014900
CEFX,USD,2008-12-29,544.72605987824400,751.77486139974700
CEFX,USD,2008-12-30,554.76363410099800,765.62768858372000
CEFX,USD,2008-12-31,565.13553943564400,779.94192516925700
CEFX,USD,2009-01-02,594.90767103141200,821.03035796607700
CEFX,USD,2009-01-05,607.38032160172700,838.24382698182800
CEFX,USD,2009-01-06,618.47473737580500,853.55519813732600
CEFX,USD,2009-01-07,604.57733326920800,834.37543088259200
CEFX,USD,2009-01-08,608.32740761067600,840.86660137199600
CEFX,USD,2009-01-09,606.69418885237700,838.60906852141900
CEFX,USD,2009-01-12,597.69990189541700,826.38040562514400
CEFX,USD,2009-01-13,596.14999053007900,824.94803624898900
CEFX,USD,2009-01-14,578.66393371560200,801.25094283925300
CEFX,USD,2009-01-15,579.61459743604400,802.56728581130500
CEFX,USD,2009-01-16,591.76027322954700,819.38487822366900
CEFX,USD,2009-01-20,571.99568410532800,792.14425863576300
CEFX,USD,2009-01-21,587.95769944484800,815.42250059375500
CEFX,USD,2009-01-22,584.81963420102800,811.07040347765600
CEFX,USD,2009-01-23,589.20308521159700,817.14969215376900
CEFX,USD,2009-01-26,590.80147443540300,819.36645458247400
CEFX,USD,2009-01-27,595.98701260081000,826.55813606186100
CEFX,USD,2009-01-28,611.09568554659700,847.84431443013900
CEFX,USD,2009-01-29,601.11454782660500,833.99631800733600
CEFX,USD,2009-01-30,597.64080497990400,829.17678942609100
CEFX,USD,2009-02-02,594.05085450748900,824.70546597343600
CEFX,USD,2009-02-03,599.60953981603000,832.42244529060500
