,date,discount_ratio,discount_value,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,ratio,value
234,2010-08-06,-1020.28057665,2.00450282482,0.0,0.0,0.0,413.427722426,2.54009900918,-201.297415305,2.59121389588
235,2010-08-13,-1177.72534109,-1.70777842129,0.0,0.0,0.0,389.930704504,-3.52518047208,-144.169817941,-2.34633917485
236,2010-08-20,-870.293861937,0.439698913511,0.0,0.0,0.0,411.336760925,-0.101974834941,-49.5805231765,-0.645195538574
237,2010-08-27,-690.082881734,-1.58364550276,0.0,0.0,0.0,396.316892021,-0.473802646203,-177.855834081,-1.40289617972
238,2010-09-03,-1203.98216939,0.677063219879,0.0,0.0,0.0,574.402970863,4.3713547927,-144.69650306,3.12678434522
239,2010-09-10,-1091.42644874,1.75056163689,0.0,0.0,0.0,512.060277468,0.346773238437,-54.4758488948,1.15401645485
240,2010-09-17,-1048.28519491,0.420281971162,0.0,0.0,0.0,375.069922772,-2.88979980817,-95.1795595096,0.212681302703
241,2010-09-24,-627.641549236,0.329312041968,0.0,0.0,0.0,273.037766831,1.39860305243,-226.826154569,0.0759537330067
242,2010-10-01,-581.880853936,0.754686928189,0.0,0.0,0.0,417.120622568,1.53025789085,-170.180825287,0.831288712918
243,2010-10-08,-543.548899478,1.28368009292,0.0,0.0,0.0,363.120434147,0.960404832443,-218.856822538,0.853296320778
244,2010-10-15,-651.294369838,-1.04329362257,0.0,0.0,0.0,340.469540579,1.14682562004,-334.670355503,-0.605777344743
245,2010-10-22,-679.972186419,-0.510913690084,0.0,0.0,0.0,399.742967011,0.482910634458,-325.778814509,-0.104566094781
246,2010-10-29,-723.010271819,-0.377386437589,0.0,0.0,0.0,504.962558187,1.03281909582,-337.243860982,-0.0603386520362
247,2010-11-05,-834.011604372,2.73328811293,0.0,0.0,0.0,511.817445861,1.3817122282,-246.816390004,3.07410541779
248,2010-11-12,-933.416958147,-2.46864049825,0.0,0.0,0.0,410.920866221,-2.40390438661,-336.867744385,-2.48018226655
249,2010-11-19,-1035.29365454,0.0973720017485,0.0,0.0,0.0,458.554948391,0.724158413532,-298.911431775,-0.440516692066
250,2010-11-26,-972.070540072,0.0499472803041,0.0,0.0,0.0,527.27438746,0.2478765614,-199.694405266,-0.688800628971
251,2010-12-03,-1019.8201264,1.38685811948,0.0,0.0,0.0,409.204078527,0.640208004441,-311.314599834,0.967684980458
252,2010-12-10,-934.170165367,-1.57066661772,0.0,0.0,0.0,338.292497337,-0.280793857052,-447.150193483,-0.957679842989
253,2010-12-17,-1133.03384162,-3.45145704545,0.0,0.0,0.0,47.6996154716,-4.43548005017,-816.595554921,-3.6098748875
254,2010-12-31,-767.560158562,3.97149626631,0.0,0.0,0.0,-99.1600710709,1.34386241868,-574.541043844,3.13622102636
255,2011-01-07,-716.912553851,0.772958820132,0.0,0.0,0.0,59.1633015668,1.85478507385,-479.412792979,1.02653907763
