,contractSymbol,dailyDate1dAgo,dailyHighPrice,dailyLastPrice,dailyLowPrice,dailyOpenInterest,dailyOpenPrice,dailyPreviousPrice,dailyPriceChange,dailyVolume,expiredDate,hasOptions,implied_roll_yeild,main_volume,preminum,root,symbol,symbolCode,symbolType,year_num
D6U18 (Sep '18),D6U18 (Sep '18),2017-07-06,0.7761,0.77505,0.77505,18.0,0.0,0.77435,0.0007,0,2018-09-16,True,-0.0035,False,0.996645377718,D6,D6U18,FUT,2,1.04109589041
D6Z18 (Dec '18),D6Z18 (Dec '18),2017-07-06,0.77575,0.77575,0.77575,2.0,0.0,0.7751,0.00065,0,2018-12-16,True,-0.0055,False,0.995746052208,D6,D6Z18,FUT,2,1.2904109589
D6H19 (Mar '19),D6H19 (Mar '19),2017-07-06,0.77645,0.77645,0.77645,0.0,0.0,0.7758,0.00065,0,2019-03-16,True,-0.0079,False,0.994848348252,D6,D6H19,FUT,2,1.53698630137
D6M19 (Jun '19),D6M19 (Jun '19),2017-07-06,0.77715,0.77715,0.77715,0.0,0.0,0.7765,0.00065,0,2019-06-16,True,-0.0108,False,0.993952261468,D6,D6M19,FUT,2,1.78904109589
D6U19 (Sep '19),D6U19 (Sep '19),2017-07-06,0.77765,0.77765,0.77765,0.0,0.0,0.777,0.00065,0,2019-09-16,True,-0.0136,False,0.993313187166,D6,D6U19,FUT,2,2.04109589041
D6Z19 (Dec '19),D6Z19 (Dec '19),2017-07-06,0.7781,0.7781,0.7781,0.0,0.0,0.7774,0.0007,0,2019-12-16,True,-0.0166,False,0.992738722529,D6,D6Z19,FUT,2,2.2904109589
D6H20 (Mar '20),D6H20 (Mar '20),2017-07-06,0.7786,0.7786,0.7786,0.0,0.0,0.7778,0.0008,0,2020-03-16,True,-0.0199,False,0.992101207295,D6,D6H20,FUT,2,2.5397260274
D6M20 (Jun '20),D6M20 (Jun '20),2017-07-06,0.77905,0.77905,0.77905,0.0,0.0,0.77825,0.0008,0,2020-06-16,True,-0.0235,False,0.991528143251,D6,D6M20,FUT,2,2.79178082192
D6U20 (Sep '20),D6U20 (Sep '20),2017-07-06,0.77955,0.77955,0.77955,0.0,0.0,0.77865,0.0009,0,2020-09-16,True,-0.0275,False,0.990892181387,D6,D6U20,FUT,2,3.04383561644
D6Z20 (Dec '20),D6Z20 (Dec '20),2017-07-06,0.78,0.78,0.78,0.0,0.0,0.77905,0.00095,0,2020-12-16,True,-0.0315,False,0.990320512821,D6,D6Z20,FUT,2,3.29315068493
D6H21 (Mar '21),D6H21 (Mar '21),2017-07-06,0.78045,0.78045,0.78045,0.0,0.0,0.77945,0.001,0,2021-03-16,True,-0.0358,False,0.989749503492,D6,D6H21,FUT,2,3.5397260274
D6M21 (Jun '21),D6M21 (Jun '21),2017-07-06,0.78095,0.78095,0.78095,0.0,0.0,0.7799,0.00105,0,2021-06-16,True,-0.0406,False,0.989115820475,D6,D6M21,FUT,2,3.79178082192
D6U21 (Sep '21),D6U21 (Sep '21),2017-07-06,0.7814,0.7814,0.7814,0.0,0.0,0.7803,0.0011,0,2021-09-16,True,-0.0455,False,0.98854619913,D6,D6U21,FUT,2,4.04383561644
D6Z21 (Dec '21),D6Z21 (Dec '21),2017-07-06,0.7819,0.7819,0.7819,0.0,0.0,0.7807,0.0012,0,2021-12-16,True,-0.0509,False,0.987914055506,D6,D6Z21,FUT,2,4.29315068493
D6H22 (Mar '22),D6H22 (Mar '22),2017-07-06,0.78235,0.78235,0.78235,0.0,0.0,0.78115,0.0012,0,2022-03-16,True,-0.0562,False,0.98734581709,D6,D6H22,FUT,2,4.5397260274
D6M22 (Jun '22),D6M22 (Jun '22),2017-07-06,0.78285,0.78285,0.78285,0.0,0.0,0.78155,0.0013,0,2022-06-16,True,-0.0621,False,0.986715207256,D6,D6M22,FUT,2,4.79178082192
J6Y00 (Cash),J6Y00 (Cash),2017-07-06,0.8855,0.8832,0.8813,0.0,0.8825,0.8829,0.0003,0,2017-07-06,True,,False,,J6,J6Y00,FUT,2,
J6N17 (Jul '17),J6N17 (Jul '17),2017-07-06,0.8861,0.88325,0.8817,1356.0,0.88405,0.88265,0.0006,432,2017-07-16,True,,False,,J6,J6N17,FUT,2,
J6Q17 (Aug '17),J6Q17 (Aug '17),2017-07-06,0.88715,0.8843,0.88275,471.0,0.8851,0.8837,0.0006,395,2017-08-16,True,,False,,J6,J6Q17,FUT,2,
J6U17 (Sep '17),J6U17 (Sep '17),2017-07-06,0.8885,0.8856,0.884,215344.0,0.88605,0.885,0.0006,141144,2017-09-16,True,,True,0.0,J6,J6U17,FUT,2,0.0027397260274
J6V17 (Oct '17),J6V17 (Oct '17),2017-07-06,0.88905,0.8868,0.88565,0.0,0.0,0.8862,0.0006,0,2017-10-16,True,-0.0002,False,0.998646820027,J6,J6V17,FUT,2,0.123287671233
J6Z17 (Dec '17),J6Z17 (Dec '17),2017-07-06,0.8922,0.88945,0.88785,557.0,0.89075,0.8889,0.00055,71,2017-12-16,True,-0.0013,False,0.995671482377,J6,J6Z17,FUT,2,0.290410958904
J6H18 (Mar '18),J6H18 (Mar '18),2017-07-06,0.8958,0.894,0.8927,283.0,0.0,0.8933,0.0007,2,2018-03-16,True,-0.0051,False,0.990604026846,J6,J6H18,FUT,2,0.53698630137
J6M18 (Jun '18),J6M18 (Jun '18),2017-07-06,0.8989,0.89855,0.89855,33.0,0.0,0.8978,0.00075,0,2018-06-16,True,-0.0114,False,0.985587891603,J6,J6M18,FUT,2,0.78904109589
J6U18 (Sep '18),J6U18 (Sep '18),2017-07-06,0.9045,0.90365,0.90365,13.0,0.9045,0.9029,0.00075,3,2018-09-16,True,-0.0208,False,0.980025452332,J6,J6U18,FUT,2,1.04109589041
J6Z18 (Dec '18),J6Z18 (Dec '18),2017-07-06,0.9089,0.9089,0.9089,1.0,0.0,0.90815,0.00075,0,2018-12-16,True,-0.033,False,0.974364616569,J6,J6Z18,FUT,2,1.2904109589
J6H19 (Mar '19),J6H19 (Mar '19),2017-07-06,0.9143,0.9143,0.9143,0.0,0.0,0.91345,0.00085,0,2019-03-16,True,-0.0478,False,0.968609865471,J6,J6H19,FUT,2,1.53698630137
J6M19 (Jun '19),J6M19 (Jun '19),2017-07-06,0.9197,0.9197,0.9197,0.0,0.0,0.91885,0.00085,0,2019-06-16,True,-0.0654,False,0.962922692182,J6,J6M19,FUT,2,1.78904109589
J6U19 (Sep '19),J6U19 (Sep '19),2017-07-06,0.9257,0.9257,0.9257,0.0,0.0,0.9248,0.0009,0,2019-09-16,True,-0.0864,False,0.956681430269,J6,J6U19,FUT,2,2.04109589041
J6Z19 (Dec '19),J6Z19 (Dec '19),2017-07-06,0.93195,0.93195,0.93195,0.0,0.0,0.93095,0.001,0,2019-12-16,True,-0.1103,False,0.950265572187,J6,J6Z19,FUT,2,2.2904109589
J6H20 (Mar '20),J6H20 (Mar '20),2017-07-06,0.9383,0.9383,0.9383,0.0,0.0,0.9372,0.0011,0,2020-03-16,True,-0.1365,False,0.943834594479,J6,J6H20,FUT,2,2.5397260274
J6M20 (Jun '20),J6M20 (Jun '20),2017-07-06,0.94475,0.94475,0.94475,0.0,0.0,0.94355,0.0012,0,2020-06-16,True,-0.1651,False,0.937390844139,J6,J6M20,FUT,2,2.79178082192
J6U20 (Sep '20),J6U20 (Sep '20),2017-07-06,0.9513,0.9513,0.9513,0.0,0.0,0.94995,0.00135,0,2020-09-16,True,-0.1957,False,0.930936613056,J6,J6U20,FUT,2,3.04383561644
J6Z20 (Dec '20),J6Z20 (Dec '20),2017-07-06,0.9579,0.9579,0.9579,0.0,0.0,0.9565,0.0014,0,2020-12-16,True,-0.2277,False,0.924522392734,J6,J6Z20,FUT,2,3.29315068493
J6H21 (Mar '21),J6H21 (Mar '21),2017-07-06,0.9646,0.9646,0.9646,0.0,0.0,0.9631,0.0015,0,2021-03-16,True,-0.261,False,0.918100767157,J6,J6H21,FUT,2,3.5397260274
J6M21 (Jun '21),J6M21 (Jun '21),2017-07-06,0.9714,0.9714,0.9714,0.0,0.0,0.9698,0.0016,0,2021-06-16,True,-0.2958,False,0.911673872761,J6,J6M21,FUT,2,3.79178082192
J6U21 (Sep '21),J6U21 (Sep '21),2017-07-06,0.9783,0.9783,0.9783,0.0,0.0,0.97655,0.00175,0,2021-09-16,True,-0.3314,False,0.905243790248,J6,J6U21,FUT,2,4.04383561644
J6Z21 (Dec '21),J6Z21 (Dec '21),2017-07-06,0.9853,0.9853,0.9853,0.0,0.0,0.98345,0.00185,0,2021-12-16,True,-0.3675,False,0.898812544403,J6,J6Z21,FUT,2,4.29315068493
J6H22 (Mar '22),J6H22 (Mar '22),2017-07-06,0.9924,0.9924,0.9924,0.0,0.0,0.99045,0.00195,0,2022-03-16,True,-0.4036,False,0.89238210399,J6,J6H22,FUT,2,4.5397260274
J6M22 (Jun '22),J6M22 (Jun '22),2017-07-06,0.9996,0.9996,0.9996,0.0,0.0,0.9975,0.0021,0,2022-06-16,True,-0.4402,False,0.885954381753,J6,J6M22,FUT,2,4.79178082192
S6Y00 (Cash),S6Y00 (Cash),2017-07-06,1.04141,1.04079,1.03504,0.0,1.0367,1.03706,0.00373,0,2017-07-06,True,,False,,S6,S6Y00,FUT,2,
S6U17 (Sep '17),S6U17 (Sep '17),2017-07-06,1.0462,1.0452,1.0397,38066.0,1.0419,1.0409,0.0043,20775,2017-09-16,True,,True,0.0,S6,S6U17,FUT,2,0.0027397260274
S6Z17 (Dec '17),S6Z17 (Dec '17),2017-07-06,1.0522,1.0515,1.0462,250.0,1.0506,1.0472,0.0043,3,2017-12-16,True,-0.0017,False,0.994008559201,S6,S6Z17,FUT,2,0.290410958904
S6H18 (Mar '18),S6H18 (Mar '18),2017-07-06,1.0584,1.0584,1.0584,17.0,0.0,1.054,0.0044,0,2018-03-16,True,-0.0067,False,0.987528344671,S6,S6H18,FUT,2,0.53698630137
S6M18 (Jun '18),S6M18 (Jun '18),2017-07-06,1.0652,1.0652,1.0652,20.0,0.0,1.0607,0.0045,0,2018-06-16,True,-0.0148,False,0.981224183252,S6,S6M18,FUT,2,0.78904109589
S6U18 (Sep '18),S6U18 (Sep '18),2017-07-06,1.0722,1.0722,1.0722,0.0,0.0,1.0678,0.0044,0,2018-09-16,True,-0.0262,False,0.974818130946,S6,S6U18,FUT,2,1.04109589041
S6Z18 (Dec '18),S6Z18 (Dec '18),2017-07-06,1.0795,1.0795,1.0795,0.0,0.0,1.0751,0.0044,0,2018-12-16,True,-0.0408,False,0.96822603057,S6,S6Z18,FUT,2,1.2904109589
S6H19 (Mar '19),S6H19 (Mar '19),2017-07-06,1.0868,1.0868,1.0868,0.0,0.0,1.0825,0.0043,0,2019-03-16,True,-0.0582,False,0.961722488038,S6,S6H19,FUT,2,1.53698630137
S6M19 (Jun '19),S6M19 (Jun '19),2017-07-06,1.0942,1.0942,1.0942,0.0,0.0,1.09,0.0042,0,2019-06-16,True,-0.0787,False,0.95521842442,S6,S6M19,FUT,2,1.78904109589
S6U19 (Sep '19),S6U19 (Sep '19),2017-07-06,1.1014,1.1014,1.1014,0.0,0.0,1.0973,0.0041,0,2019-09-16,True,-0.1014,False,0.948974033049,S6,S6U19,FUT,2,2.04109589041
S6Z19 (Dec '19),S6Z19 (Dec '19),2017-07-06,1.1086,1.1086,1.1086,0.0,0.0,1.1046,0.004,0,2019-12-16,True,-0.1262,False,0.9428107523,S6,S6Z19,FUT,2,2.2904109589
S6H20 (Mar '20),S6H20 (Mar '20),2017-07-06,1.1159,1.1159,1.1159,0.0,0.0,1.1119,0.004,0,2020-03-16,True,-0.1532,False,0.936643068375,S6,S6H20,FUT,2,2.5397260274
S6M20 (Jun '20),S6M20 (Jun '20),2017-07-06,1.1233,1.1233,1.1233,0.0,0.0,1.1194,0.0039,0,2020-06-16,True,-0.1822,False,0.930472714324,S6,S6M20,FUT,2,2.79178082192
S6U20 (Sep '20),S6U20 (Sep '20),2017-07-06,1.1308,1.1308,1.1308,0.0,0.0,1.127,0.0038,0,2020-09-16,True,-0.2131,False,0.924301379554,S6,S6U20,FUT,2,3.04383561644
S6Z20 (Dec '20),S6Z20 (Dec '20),2017-07-06,1.1384,1.1384,1.1384,0.0,0.0,1.1347,0.0037,0,2020-12-16,True,-0.2452,False,0.918130709768,S6,S6Z20,FUT,2,3.29315068493
S6H21 (Mar '21),S6H21 (Mar '21),2017-07-06,1.1461,1.1461,1.1461,0.0,0.0,1.1425,0.0036,0,2021-03-16,True,-0.2783,False,0.911962306954,S6,S6H21,FUT,2,3.5397260274
S6M21 (Jun '21),S6M21 (Jun '21),2017-07-06,1.1539,1.1539,1.1539,0.0,0.0,1.1503,0.0036,0,2021-06-16,True,-0.3128,False,0.905797729439,S6,S6M21,FUT,2,3.79178082192
S6U21 (Sep '21),S6U21 (Sep '21),2017-07-06,1.1618,1.1618,1.1618,0.0,0.0,1.1584,0.0034,0,2021-09-16,True,-0.348,False,0.899638491995,S6,S6U21,FUT,2,4.04383561644
S6Z21 (Dec '21),S6Z21 (Dec '21),2017-07-06,1.1698,1.1698,1.1698,0.0,0.0,1.1665,0.0033,0,2021-12-16,True,-0.3834,False,0.893486065994,S6,S6Z21,FUT,2,4.29315068493
S6H22 (Mar '22),S6H22 (Mar '22),2017-07-06,1.1779,1.1779,1.1779,0.0,0.0,1.1747,0.0032,0,2022-03-16,True,-0.4188,False,0.887341879616,S6,S6H22,FUT,2,4.5397260274
S6M22 (Jun '22),S6M22 (Jun '22),2017-07-06,1.1861,1.1861,1.1861,0.0,0.0,1.183,0.0031,0,2022-06-16,True,-0.4545,False,0.881207318101,S6,S6M22,FUT,2,4.79178082192
E6Y00 (Cash),E6Y00 (Cash),2017-07-06,1.14247,1.14225,1.13295,0.0,1.13504,1.13507,0.00718,0,2017-07-06,True,,False,,E6,E6Y00,FUT,2,
E6N17 (Jul '17),E6N17 (Jul '17),2017-07-06,1.1429,1.1427,1.1336,2090.0,1.13565,1.13485,0.00785,1199,2017-07-16,True,,False,,E6,E6N17,FUT,2,
E6Q17 (Aug '17),E6Q17 (Aug '17),2017-07-06,1.1447,1.1444,1.1352,1575.0,1.1376,1.1365,0.0079,600,2017-08-16,True,,False,,E6,E6Q17,FUT,2,
E6U17 (Sep '17),E6U17 (Sep '17),2017-07-06,1.14675,1.14645,1.1372,417726.0,1.1394,1.13855,0.0079,199475,2017-09-16,True,,True,0.0,E6,E6U17,FUT,2,0.0027397260274
E6V17 (Oct '17),E6V17 (Oct '17),2017-07-06,1.1486,1.1483,1.1394,49.0,1.143,1.14035,0.00795,83,2017-10-16,True,-0.0002,False,0.998388922755,E6,E6V17,FUT,2,0.123287671233
E6Z17 (Dec '17),E6Z17 (Dec '17),2017-07-06,1.15235,1.15215,1.1429,3593.0,1.1438,1.14415,0.008,707,2017-12-16,True,-0.0014,False,0.995052727509,E6,E6Z17,FUT,2,0.290410958904
E6H18 (Mar '18),E6H18 (Mar '18),2017-07-06,1.1584,1.15825,1.14935,707.0,1.1564,1.15035,0.0079,19,2018-03-16,True,-0.0055,False,0.989812216706,E6,E6H18,FUT,2,0.53698630137
E6M18 (Jun '18),E6M18 (Jun '18),2017-07-06,1.16455,1.16455,1.15605,375.0,1.1618,1.15645,0.0081,4,2018-06-16,True,-0.0123,False,0.984457515779,E6,E6M18,FUT,2,0.78904109589
E6U18 (Sep '18),E6U18 (Sep '18),2017-07-06,1.17075,1.17075,1.1626,203.0,0.0,1.1628,0.00795,1,2018-09-16,True,-0.0216,False,0.979244074311,E6,E6U18,FUT,2,1.04109589041
E6Z18 (Dec '18),E6Z18 (Dec '18),2017-07-06,1.17745,1.17745,1.17,3.0,1.17,1.16935,0.0081,1,2018-12-16,True,-0.0338,False,0.973671918128,E6,E6Z18,FUT,2,1.2904109589
E6H19 (Mar '19),E6H19 (Mar '19),2017-07-06,1.18395,1.18395,1.18395,0.0,0.0,1.1758,0.00815,0,2019-03-16,True,-0.0483,False,0.968326365134,E6,E6H19,FUT,2,1.53698630137
E6M19 (Jun '19),E6M19 (Jun '19),2017-07-06,1.1905,1.1905,1.1905,0.0,0.0,1.1823,0.0082,0,2019-06-16,True,-0.0652,False,0.962998740025,E6,E6M19,FUT,2,1.78904109589
E6U19 (Sep '19),E6U19 (Sep '19),2017-07-06,1.19695,1.19695,1.19695,0.0,0.0,1.1889,0.00805,0,2019-09-16,True,-0.0842,False,0.957809432307,E6,E6U19,FUT,2,2.04109589041
E6Z19 (Dec '19),E6Z19 (Dec '19),2017-07-06,1.20345,1.20345,1.20345,0.0,0.0,1.1955,0.00795,0,2019-12-16,True,-0.1052,False,0.952636171008,E6,E6Z19,FUT,2,2.2904109589
E6H20 (Mar '20),E6H20 (Mar '20),2017-07-06,1.20995,1.20995,1.20995,0.0,0.0,1.20215,0.0078,0,2020-03-16,True,-0.128,False,0.9475184925,E6,E6H20,FUT,2,2.5397260274
E6M20 (Jun '20),E6M20 (Jun '20),2017-07-06,1.21645,1.21645,1.21645,0.0,0.0,1.20875,0.0077,0,2020-06-16,True,-0.1525,False,0.942455505775,E6,E6M20,FUT,2,2.79178082192
E6U20 (Sep '20),E6U20 (Sep '20),2017-07-06,1.22295,1.22295,1.22295,0.0,0.0,1.21535,0.0076,0,2020-09-16,True,-0.1785,False,0.937446338771,E6,E6U20,FUT,2,3.04383561644
E6Z20 (Dec '20),E6Z20 (Dec '20),2017-07-06,1.22945,1.22945,1.22945,0.0,0.0,1.22195,0.0075,0,2020-12-16,True,-0.2056,False,0.932490137867,E6,E6Z20,FUT,2,3.29315068493
E6H21 (Mar '21),E6H21 (Mar '21),2017-07-06,1.23595,1.23595,1.23595,0.0,0.0,1.2286,0.00735,0,2021-03-16,True,-0.2336,False,0.927586067398,E6,E6H21,FUT,2,3.5397260274
E6M21 (Jun '21),E6M21 (Jun '21),2017-07-06,1.2424,1.2424,1.2424,0.0,0.0,1.2352,0.0072,0,2021-06-16,True,-0.2627,False,0.922770444301,E6,E6M21,FUT,2,3.79178082192
E6U21 (Sep '21),E6U21 (Sep '21),2017-07-06,1.2489,1.2489,1.2489,0.0,0.0,1.2418,0.0071,0,2021-09-16,True,-0.2926,False,0.917967811674,E6,E6U21,FUT,2,4.04383561644
E6Z21 (Dec '21),E6Z21 (Dec '21),2017-07-06,1.2554,1.2554,1.2554,0.0,0.0,1.24845,0.00695,0,2021-12-16,True,-0.3228,False,0.913214911582,E6,E6Z21,FUT,2,4.29315068493
E6H22 (Mar '22),E6H22 (Mar '22),2017-07-06,1.2619,1.2619,1.2619,0.0,0.0,1.25505,0.00685,0,2022-03-16,True,-0.3531,False,0.908510975513,E6,E6H22,FUT,2,4.5397260274
E6M22 (Jun '22),E6M22 (Jun '22),2017-07-06,1.2684,1.2684,1.2684,0.0,0.0,1.26165,0.00675,0,2022-06-16,True,-0.3839,False,0.90385525071,E6,E6M22,FUT,2,4.79178082192
A6Y00 (Cash),A6Y00 (Cash),2017-07-06,0.76145,0.75828,0.7577,0.0,0.76013,0.76014,-0.00186,0,2017-07-06,True,,False,,A6,A6Y00,FUT,2,
A6N17 (Jul '17),A6N17 (Jul '17),2017-07-06,0.7613,0.7584,0.7577,462.0,0.759,0.7594,-0.001,40,2017-07-16,True,,False,,A6,A6N17,FUT,2,
A6Q17 (Aug '17),A6Q17 (Aug '17),2017-07-06,0.761,0.7581,0.7575,304.0,0.7605,0.7591,-0.001,64,2017-08-16,True,,False,,A6,A6Q17,FUT,2,
A6U17 (Sep '17),A6U17 (Sep '17),2017-07-06,0.7608,0.7578,0.757,96946.0,0.7596,0.7588,-0.001,64517,2017-09-16,True,,True,0.0,A6,A6U17,FUT,2,0.0027397260274
